id;name;geoid;geoname;value;datetime
805;Precio medio horario componente mercado diario ;;;97.63;2021-07-07T00:00:00
805;Precio medio horario componente mercado diario ;;;94.23;2021-07-07T01:00:00
805;Precio medio horario componente mercado diario ;;;92.05;2021-07-07T02:00:00
805;Precio medio horario componente mercado diario ;;;92.05;2021-07-07T03:00:00
805;Precio medio horario componente mercado diario ;;;92.05;2021-07-07T04:00:00
805;Precio medio horario componente mercado diario ;;;92.32;2021-07-07T05:00:00
805;Precio medio horario componente mercado diario ;;;96.46;2021-07-07T06:00:00
805;Precio medio horario componente mercado diario ;;;104.78;2021-07-07T07:00:00
805;Precio medio horario componente mercado diario ;;;108.01;2021-07-07T08:00:00
805;Precio medio horario componente mercado diario ;;;104.61;2021-07-07T09:00:00
805;Precio medio horario componente mercado diario ;;;101.21;2021-07-07T10:00:00
805;Precio medio horario componente mercado diario ;;;99.44;2021-07-07T11:00:00
805;Precio medio horario componente mercado diario ;;;97.78;2021-07-07T12:00:00
805;Precio medio horario componente mercado diario ;;;97.36;2021-07-07T13:00:00
805;Precio medio horario componente mercado diario ;;;96.98;2021-07-07T14:00:00
805;Precio medio horario componente mercado diario ;;;95;2021-07-07T15:00:00
805;Precio medio horario componente mercado diario ;;;96.03;2021-07-07T16:00:00
805;Precio medio horario componente mercado diario ;;;97.63;2021-07-07T17:00:00
805;Precio medio horario componente mercado diario ;;;97.63;2021-07-07T18:00:00
805;Precio medio horario componente mercado diario ;;;97;2021-07-07T19:00:00
805;Precio medio horario componente mercado diario ;;;100.77;2021-07-07T20:00:00
805;Precio medio horario componente mercado diario ;;;107;2021-07-07T21:00:00
805;Precio medio horario componente mercado diario ;;;107.7;2021-07-07T22:00:00
805;Precio medio horario componente mercado diario ;;;103.65;2021-07-07T23:00:00
805;Precio medio horario componente mercado diario ;;;92;2021-07-08T00:00:00
805;Precio medio horario componente mercado diario ;;;86.74;2021-07-08T01:00:00
805;Precio medio horario componente mercado diario ;;;80.38;2021-07-08T02:00:00
805;Precio medio horario componente mercado diario ;;;78;2021-07-08T03:00:00
805;Precio medio horario componente mercado diario ;;;77.5;2021-07-08T04:00:00
805;Precio medio horario componente mercado diario ;;;81.61;2021-07-08T05:00:00
805;Precio medio horario componente mercado diario ;;;88.93;2021-07-08T06:00:00
805;Precio medio horario componente mercado diario ;;;96.98;2021-07-08T07:00:00
805;Precio medio horario componente mercado diario ;;;100.7;2021-07-08T08:00:00
805;Precio medio horario componente mercado diario ;;;100.09;2021-07-08T09:00:00
805;Precio medio horario componente mercado diario ;;;100.08;2021-07-08T10:00:00
805;Precio medio horario componente mercado diario ;;;100.09;2021-07-08T11:00:00
805;Precio medio horario componente mercado diario ;;;100;2021-07-08T12:00:00
805;Precio medio horario componente mercado diario ;;;97.8;2021-07-08T13:00:00
805;Precio medio horario componente mercado diario ;;;95;2021-07-08T14:00:00
805;Precio medio horario componente mercado diario ;;;91.55;2021-07-08T15:00:00
805;Precio medio horario componente mercado diario ;;;91.11;2021-07-08T16:00:00
805;Precio medio horario componente mercado diario ;;;95.56;2021-07-08T17:00:00
805;Precio medio horario componente mercado diario ;;;96.01;2021-07-08T18:00:00
805;Precio medio horario componente mercado diario ;;;99.43;2021-07-08T19:00:00
805;Precio medio horario componente mercado diario ;;;99.74;2021-07-08T20:00:00
805;Precio medio horario componente mercado diario ;;;100.09;2021-07-08T21:00:00
805;Precio medio horario componente mercado diario ;;;102.1;2021-07-08T22:00:00
805;Precio medio horario componente mercado diario ;;;96.7;2021-07-08T23:00:00
805;Precio medio horario componente mercado diario ;;;93.35;2021-07-09T00:00:00
805;Precio medio horario componente mercado diario ;;;89.05;2021-07-09T01:00:00
805;Precio medio horario componente mercado diario ;;;86.77;2021-07-09T02:00:00
805;Precio medio horario componente mercado diario ;;;86.6;2021-07-09T03:00:00
805;Precio medio horario componente mercado diario ;;;86.74;2021-07-09T04:00:00
805;Precio medio horario componente mercado diario ;;;88.93;2021-07-09T05:00:00
805;Precio medio horario componente mercado diario ;;;92.88;2021-07-09T06:00:00
805;Precio medio horario componente mercado diario ;;;100.89;2021-07-09T07:00:00
805;Precio medio horario componente mercado diario ;;;107.63;2021-07-09T08:00:00
805;Precio medio horario componente mercado diario ;;;103.19;2021-07-09T09:00:00
805;Precio medio horario componente mercado diario ;;;98.53;2021-07-09T10:00:00
805;Precio medio horario componente mercado diario ;;;96.99;2021-07-09T11:00:00
805;Precio medio horario componente mercado diario ;;;95;2021-07-09T12:00:00
805;Precio medio horario componente mercado diario ;;;91.92;2021-07-09T13:00:00
805;Precio medio horario componente mercado diario ;;;91;2021-07-09T14:00:00
805;Precio medio horario componente mercado diario ;;;86.32;2021-07-09T15:00:00
805;Precio medio horario componente mercado diario ;;;82.5;2021-07-09T16:00:00
805;Precio medio horario componente mercado diario ;;;88.15;2021-07-09T17:00:00
805;Precio medio horario componente mercado diario ;;;94.47;2021-07-09T18:00:00
805;Precio medio horario componente mercado diario ;;;97.68;2021-07-09T19:00:00
805;Precio medio horario componente mercado diario ;;;98.25;2021-07-09T20:00:00
805;Precio medio horario componente mercado diario ;;;98.43;2021-07-09T21:00:00
805;Precio medio horario componente mercado diario ;;;96.69;2021-07-09T22:00:00
805;Precio medio horario componente mercado diario ;;;91.98;2021-07-09T23:00:00
805;Precio medio horario componente mercado diario ;;;95;2021-07-10T00:00:00
805;Precio medio horario componente mercado diario ;;;94.31;2021-07-10T01:00:00
805;Precio medio horario componente mercado diario ;;;94.31;2021-07-10T02:00:00
805;Precio medio horario componente mercado diario ;;;94.31;2021-07-10T03:00:00
805;Precio medio horario componente mercado diario ;;;93.91;2021-07-10T04:00:00
805;Precio medio horario componente mercado diario ;;;93.8;2021-07-10T05:00:00
805;Precio medio horario componente mercado diario ;;;94.21;2021-07-10T06:00:00
805;Precio medio horario componente mercado diario ;;;93;2021-07-10T07:00:00
805;Precio medio horario componente mercado diario ;;;88.93;2021-07-10T08:00:00
805;Precio medio horario componente mercado diario ;;;86.72;2021-07-10T09:00:00
805;Precio medio horario componente mercado diario ;;;83.03;2021-07-10T10:00:00
805;Precio medio horario componente mercado diario ;;;85;2021-07-10T11:00:00
805;Precio medio horario componente mercado diario ;;;85.6;2021-07-10T12:00:00
805;Precio medio horario componente mercado diario ;;;88.55;2021-07-10T13:00:00
805;Precio medio horario componente mercado diario ;;;87.55;2021-07-10T14:00:00
805;Precio medio horario componente mercado diario ;;;75.13;2021-07-10T15:00:00
805;Precio medio horario componente mercado diario ;;;73;2021-07-10T16:00:00
805;Precio medio horario componente mercado diario ;;;81.31;2021-07-10T17:00:00
805;Precio medio horario componente mercado diario ;;;93.16;2021-07-10T18:00:00
805;Precio medio horario componente mercado diario ;;;97.91;2021-07-10T19:00:00
805;Precio medio horario componente mercado diario ;;;99.19;2021-07-10T20:00:00
805;Precio medio horario componente mercado diario ;;;100.05;2021-07-10T21:00:00
805;Precio medio horario componente mercado diario ;;;98.5;2021-07-10T22:00:00
